first,last,ssn,mother_tongue,race,age,blood_group,gender,birthday,ccnumber,phone,email,street,state,city,zip,graduated_from,employed,company,designation,yearly_revenue
Walter,Alexander,309-52-1722,Dari,Houma,35,O+,Female,12-01-68,3459 -900010 -78720,(451) 462-2933,jedpanabu@nu.fr,Eguw Turnpike,LA,Sevcovke,74989,College of New Rochelle,0,Air Purchases,Assistant Professor,"$6,600.52 "
Gene,Romero,385-27-0206,Maltese,White,45,O-,Male,12/16/1975,3462 -645733 -17711,(566) 254-7028,ekiihovap@diaze.su,Wapdo Point,HI,Zonimpat,29306,"Institute of Education, University of London",0,Ferguson HVAC Supply,Graphic Designer,"$1,970.77 "
Lola,Newman,420-81-6284,Lithuanian,Central American,56,A+,Male,03-05-80,3464 -921147 -16501,(614) 893-9916,dohisu@zocteebe.dz,Nijifo Street,DC,Zijsujte,5515,"Queen Mary and Westfield College, University of London",1,Alliance Express,Quality Engineer,"$4,134.53 "
Dorothy,Hayes,089-73-9842,Afrikaans,Ottawa,45,A-,Female,12/30/1997,3466 -964289 -02108,(820) 522-7568,opoalu@jev.ag,Nicum Road,MT,Cazvenis,28084,Warsaw School of Information Technology,0,Emcor Services Comm Air/balco,Technical Writer,"$9,102.89 "
Alejandro,Warren,709-08-5258,Georgian,Dominican (Dominican Republic),20,B+,Female,7/25/1998,3472 -520981 -02436,(480) 281-8130,imo@wik.mz,Ucgog Road,ME,Jurewkir,16113,Koyasan University,0,Home Services at The Home Depot,Senior Developer,"$5,732.36 "
Ruth,Fletcher,264-64-5886,Montenegrin,Pueblo,60,B-,Female,4/21/1956,3484 -663118 -15926,(263) 344-5717,laja@kedob.me,Mocezu Junction,SC,Watmase,84635,Beijing Sport University,0,Stantec,Quality Engineer,"$9,964.14 "
Adrian,Fox,381-20-9716,Malagasy,Chilean,32,AB+,Male,03-02-72,3498 -339419 -84472,(529) 909-7299,foges@uwu.om,Zanvid River,SD,Ipheoc,35865,George Brown College,1,Accutemp Engineering Inc.,Cost Accountant,"$8,038.04 "
Kenneth,James,449-83-7398,Danish,Comanche,63,AB-,Female,10/30/1998,3705 -712808 -16820,(655) 626-3585,mohgu@afra.pt,Uzcar Plaza,NM,Amakicvet,6719,Semmelweis University of Medical Sciences,1,United Inc,Software Consultant,"$6,517.74 "
Steven,Perez,897-14-0366,Norwegian,Micronesian,23,O+,Female,10/30/1981,3705 -755542 -73733,(457) 326-8076,hitijeh@zippopvog.de,Warlo River,NM,Finajal,10134,Maxim Gorky Institute of Literature,1,Carrier Service,Professor,"$1,679.02 "
Jason,Marshall,366-31-2152,Armenian,Creek,60,O-,Female,01-11-75,3710 -942668 -45001,(517) 474-9254,kurup@guabca.bg,Enegu Point,ME,Nalusavaw,24614,American University in Cairo,0,M. L. HVAC,Information Systems Manager,"$1,664.08 "
Helena,Bowers,931-89-4637,Malagasy,Costa Rican,25,A+,Male,2/18/1961,3713 -140532 -66223,(833) 309-4241,cinja@reicba.pn,Tiodo Way,KY,Gogacum,9956,Dalian University,1,Total Temperature Control,Junior Executive,"$2,698.52 "
Harriet,McKinney,562-25-6344,Kashmiri,Venezuelan,47,A-,Male,4/22/1972,3771 -939152 -27738,(409) 399-4729,gamguonu@saapapu.kz,Bodko Park,NH,Owsomuj,49257,Donetsk National University,0,Gassco Inc,VP Quality Control,"$4,525.38 "
Jane,Jordan,291-72-4652,West Frisian,Ecuadorian,20,B+,Male,6/16/1996,3796 -194372 -98672,(479) 877-2220,unoocluk@miod.nf,Jisor Glen,VA,Poroka,27099,Université de Monastir,1,Five Star Cooling,Media Manager I,"$4,586.44 "
Keith,Riley,583-06-8053,New Zealand Sign Language,Cuban,49,B-,Female,09-12-63,402 -68111 -42717 -497,(259) 591-9360,ru@zulej.pg,Selut River,CO,Hiedpi,14183,Universiti Malaya,0,Frontier Air,VP Sales,"$7,398.54 "
Gertrude,Dennis,229-06-5845,Hungarian,Tohono O'Odham,47,AB+,Female,7/28/1970,402656 -7746793561,(480) 545-9420,hilibosur@ke.sk,Haho Loop,LA,Ociemafi,10385,West Bengal University of Technology,0,Premier Mechanical,VP Accounting,"$1,843.03 "
